ID,Date,Source Text,Phrase,Phrase Sentiment,Phrase Mentions Sentiment +/-,Phrase Intensifier,Phrase Negator,Phrase Type
2305,"Jan. 14, 2020 at 2:11 p.m. ET","Dow flat in spite of losses for Apple Inc., Exxon Mobil stocks",losses,-0.600000024,negative,,,detected
2221,"Jan. 27, 2020 at 9:45 a.m. ET","Dow down 414 points on losses for American Express, UnitedHealth stocks",losses,-0.600000024,negative,,,detected
7063,"Jan. 29, 2018 at 12:16 p.m. ET","European stocks end lower as losses for banks, oil firms outweigh AMS rally",losses,-0.600000024,negative,,,detected
2185,"Jan. 29, 2020 at 8:53 a.m. ET",Losses for oil companies and Diageo weigh on FTSE 100,losses,-0.600000024,negative,,,detected
2150,"Jan. 31, 2020 at 3:15 p.m. ET","Dow Inc., Exxon Mobil share losses lead Dow's 614-point fall",losses,-0.600000024,negative,,,detected
983,"Jul. 16, 2020 at 1:58 p.m. ET","Dow falls 200 points on losses for shares of Boeing, Microsoft",losses,-0.600000024,negative,,,detected
985,"Jul. 16, 2020 at 11:46 a.m. ET","Boeing, Microsoft share losses contribute to Dow's 129-point fall",losses,-0.600000024,negative,,,detected
928,"Jul. 23, 2020 at 1:20 p.m. ET","Dow Inc., Apple Inc. share losses lead Dow's nearly 150-point drop",losses,-0.600000024,negative,,,detected
931,"Jul. 23, 2020 at 10:58 a.m. ET","Dow Inc., Travelers share losses lead Dow's nearly 150-point fall",losses,-0.600000024,negative,,,detected
930,"Jul. 23, 2020 at 11:59 a.m. ET","Dow's 75-point fall led by losses in shares of Dow Inc., Travelers",losses,-0.600000024,negative,,,detected
926,"Jul. 23, 2020 at 2:21 p.m. ET","Dow falls 430 points on losses for shares of Apple Inc., Dow Inc.",losses,-0.600000024,negative,,,detected
925,"Jul. 23, 2020 at 3:21 p.m. ET","Apple Inc., Microsoft share losses contribute to Dow's 350-point fall",losses,-0.600000024,negative,,,detected
914,"Jul. 24, 2020 at 10:46 a.m. ET","Dow's 75-point fall led by losses in Intel, Pfizer stocks",losses,-0.600000024,negative,,,detected
915,"Jul. 24, 2020 at 9:45 a.m. ET","Intel, Apple Inc. share losses lead Dow's 162-point drop",losses,-0.600000024,negative,,,detected
8425,"Jun. 12, 2017 at 4:03 p.m. ET",U.S. stocks close lower as tech sector extends losses,losses,-0.600000024,negative,,,detected
8398,"Jun. 14, 2017 at 3:44 p.m. ET",'FAANG' stocks swing to losses after Fed raised interest rates,losses,-0.720000029,negative,,,detected
8345,"Jun. 22, 2017 at 12:16 p.m. ET",FTSE 100 trims losses into the close as oil rises,losses,-0.720000029,negative,,,detected
1706,"Mar. 23, 2020 at 11:46 a.m. ET","Dow's 930-point drop led by losses in shares of United Technologies, Chevron",losses,-0.720000029,negative,,,detected
1705,"Mar. 23, 2020 at 11:47 a.m. ET","United Technologies, Chevron share losses contribute to Dow's nearly 950-point drop",losses,-0.600000024,negative,,,detected
4367,"Mar. 25, 2019 at 3:15 p.m. ET","Netflix's stock rallies, erasing previous losses after Apple announces rival streaming service",losses,-0.600000024,negative,,,detected
6705,"Mar. 28, 2018 at 12:47 p.m. ET",European stocks turn up as Shire’s surge helps offset tech losses,losses,-0.600000024,negative,,,detected
1380,"May. 15, 2020 at 9:45 a.m. ET","Walgreens Boots, Intel share losses contribute to Dow's 100-point drop",losses,-0.600000024,negative,,,detected
9464,"Nov. 10, 2016 at 11:24 a.m. ET",The importance of cutting losses,losses,-0.600000024,negative,,,detected
9457,"Nov. 11, 2016 at 10:00 a.m. ET",Foxconn profit declines on Sharp Corp. losses,losses,-0.600000024,negative,,,detected
5405,"Nov. 13, 2018 at 7:21 a.m. ET","Nikkei tumbles, China’s stock market finds strength following tech losses on Wall Street",losses,-0.600000024,negative,,,detected
5339,"Nov. 19, 2018 at 10:01 a.m. ET","Shares of Apple, iPhone suppliers extend losses after WSJ report of further production cuts",losses,-0.600000024,negative,,,detected
5335,"Nov. 19, 2018 at 12:22 p.m. ET",Apple's stock dips briefly into bear-market territory before paring losses,losses,-0.600000024,negative,,,detected
5327,"Nov. 19, 2018 at 4:26 p.m. ET",Dow closes down nearly 400 points as tech losses batter stock market,losses,-0.600000024,negative,,,detected
2652,"Nov. 20, 2019 at 12:57 p.m. ET","Dow down 175 points on losses for shares of Home Depot, Apple Inc.",losses,-0.600000024,negative,,,detected
2651,"Nov. 20, 2019 at 12:58 p.m. ET","Dow's 175-point drop led by losses for shares of Home Depot, Apple Inc.",losses,-0.600000024,negative,,,detected
2649,"Nov. 20, 2019 at 3:56 p.m. ET","Dow falls 100 points on losses for shares of Home Depot, 3M",losses,-0.600000024,negative,,,detected
5254,"Nov. 27, 2018 at 10:30 a.m. ET","Apple's stock falls 0.7%, but pares earlier losses of as much as 2.1%",losses,-0.900000036,negative,,,detected
9,"Nov. 6, 2020 at 10:53 a.m. ET","Dow's 25-point fall led by losses in UnitedHealth, Microsoft shares",losses,-0.600000024,negative,,,detected
10,"Nov. 6, 2020 at 9:45 a.m. ET","Dow falls 110 points on losses for Apple Inc., Microsoft shares",losses,-0.600000024,negative,,,detected
2735,"Nov. 8, 2019 at 4:40 p.m. ET",Inflation inequality deepens wage losses for America’s poorest,losses,-0.600000024,negative,,,detected
192,"Oct. 13, 2020 at 1:09 p.m. ET","Travelers, Apple Inc. share losses contribute to Dow's nearly 150-point fall",losses,-0.600000024,negative,,,detected
187,"Oct. 13, 2020 at 2:30 p.m. ET","Travelers, Apple Inc. share losses contribute to Dow's 225-point drop",losses,-0.600000024,negative,,,detected
186,"Oct. 13, 2020 at 3:30 p.m. ET","Travelers, Boeing share losses contribute to Dow's 88-point fall",losses,-0.600000024,negative,,,detected
196,"Oct. 13, 2020 at 9:45 a.m. ET","Dow's nearly 75-point fall led by losses in Boeing, Apple Inc. stocks",losses,-0.600000024,negative,,,detected
160,"Oct. 15, 2020 at 1:11 p.m. ET","Salesforce.com Inc., Merck share losses contribute to Dow's 84-point fall",losses,-0.600000024,negative,,,detected
143,"Oct. 19, 2020 at 3:28 p.m. ET","Dow's 400-point drop led by losses in shares of Microsoft, American Express",losses,-0.600000024,negative,,,detected
258,"Oct. 2, 2020 at 11:14 a.m. ET","Dow's 150-point drop led by losses in shares of Amgen Inc., Boeing",losses,-0.600000024,negative,,,detected
257,"Oct. 2, 2020 at 12:15 p.m. ET","Dow falls 60 points on losses for shares of Amgen Inc., Apple Inc.",losses,-0.600000024,negative,,,detected
256,"Oct. 2, 2020 at 3:12 p.m. ET","Amgen Inc., Apple Inc. share losses lead Dow's 75-point drop",losses,-0.600000024,negative,,,detected
260,"Oct. 2, 2020 at 9:45 a.m. ET","Apple Inc., Boeing share losses contribute to Dow's nearly 225-point fall",losses,-0.600000024,negative,,,detected
122,"Oct. 23, 2020 at 11:23 a.m. ET","Intel, American Express share losses contribute to Dow's nearly 75-point fall",losses,-0.600000024,negative,,,detected
121,"Oct. 23, 2020 at 3:13 p.m. ET","Dow flat in spite of losses for Intel, American Express stocks",losses,-0.600000024,negative,,,detected
100,"Oct. 28, 2020 at 11:53 a.m. ET","Visa, Caterpillar share losses lead Dow's 687-point fall",losses,-0.600000024,negative,,,detected
101,"Oct. 28, 2020 at 9:45 a.m. ET","Visa, Microsoft share losses contribute to Dow's nearly 400-point drop",losses,-0.600000024,negative,,,detected
59,"Oct. 30, 2020 at 1:49 p.m. ET","Dow's 400-point drop led by losses for Apple Inc., Boeing shares",losses,-0.600000024,negative,,,detected
65,"Oct. 30, 2020 at 10:46 a.m. ET","Apple Inc., Boeing share losses contribute to Dow's nearly 450-point drop",losses,-0.600000024,negative,,,detected
62,"Oct. 30, 2020 at 11:49 a.m. ET","Apple Inc., Boeing share losses lead Dow's 368-point fall",losses,-0.600000024,negative,,,detected
61,"Oct. 30, 2020 at 12:49 p.m. ET","Dow falls 275 points on losses in Apple Inc., Boeing shares",losses,-0.600000024,negative,,,detected
53,"Oct. 30, 2020 at 3:44 p.m. ET","Apple Inc., Boeing share losses contribute to Dow's 316-point fall",losses,-0.600000024,negative,,,detected
67,"Oct. 30, 2020 at 9:45 a.m. ET","Dow's nearly 150-point fall led by losses for Apple Inc., Dow Inc. stocks",losses,-0.600000024,negative,,,detected
240,"Oct. 6, 2020 at 3:38 p.m. ET","Boeing, Apple Inc. share losses lead Dow's 275-point fall",losses,-0.600000024,negative,,,detected
3221,"Sep. 10, 2019 at 3:06 p.m. ET","Roku's stock tumbles 11%, with losses accelerating after Apple announced price of Apple TV+",losses,-0.600000024,negative,,,detected
3220,"Sep. 10, 2019 at 3:09 p.m. ET","Walt Disney's stock falls 2.9%, with losses accelerating after Apple unveils Apple TV+ service price",losses,-0.600000024,negative,,,detected
404,"Sep. 10, 2020 at 2:17 p.m. ET","Dow's 211-point fall led by losses for Apple Inc., Caterpillar stocks",losses,-0.600000024,negative,,,detected
403,"Sep. 10, 2020 at 3:18 p.m. ET","Dow drops nearly 425 points on losses for Apple Inc., Microsoft stocks",losses,-0.600000024,negative,,,detected
397,"Sep. 11, 2020 at 2:04 p.m. ET","Dow down 39 points on losses in Salesforce.com Inc., Apple Inc. stocks",losses,-0.600000024,negative,,,detected
5833,"Sep. 12, 2018 at 12:41 p.m. ET","Apple's stock swings to losses, falls 1.1% after being up as much as 0.5% at the intraday high",losses,-0.600000024,negative,,,detected
9756,"Sep. 14, 2016 at 2:15 p.m. ET","Apple shares contribute 20 pts to Dow, but not enough to overcome Boeing, IBM share losses",losses,-0.900000036,negative,,,detected
339,"Sep. 17, 2020 at 11:57 a.m. ET","Salesforce.com Inc., Goldman Sachs share losses contribute to Dow's 133-point fall",losses,-0.600000024,negative,,,detected
338,"Sep. 17, 2020 at 12:59 p.m. ET","Dow's 216-point fall led by losses for shares of Salesforce.com Inc., Goldman Sachs",losses,-0.600000024,negative,,,detected
336,"Sep. 17, 2020 at 2:36 p.m. ET","Salesforce.com Inc., Goldman Sachs share losses contribute to Dow's nearly 300-point drop",losses,-0.600000024,negative,,,detected
335,"Sep. 17, 2020 at 3:37 p.m. ET","Salesforce.com Inc., Goldman Sachs share losses contribute to Dow's nearly 200-point fall",losses,-0.600000024,negative,,,detected
341,"Sep. 17, 2020 at 9:45 a.m. ET","Boeing, Chevron share losses contribute to Dow's 334-point drop",losses,-0.600000024,negative,,,detected
326,"Sep. 18, 2020 at 1:20 p.m. ET","Apple Inc., Microsoft share losses contribute to Dow's 217-point fall",losses,-0.600000024,negative,,,detected
328,"Sep. 18, 2020 at 10:48 a.m. ET","Apple Inc., Cisco share losses lead the way, but Dow flat",losses,-0.720000029,negative,,,detected
327,"Sep. 18, 2020 at 12:19 p.m. ET","Dow drops 81 points on losses for Apple Inc., Microsoft shares",losses,-0.600000024,negative,,,detected
325,"Sep. 18, 2020 at 2:21 p.m. ET","Boeing, Apple Inc. share losses lead Dow's 325-point drop",losses,-0.600000024,negative,,,detected
322,"Sep. 18, 2020 at 3:22 p.m. ET","Dow down nearly 250 points on losses for shares of Boeing, Apple Inc.",losses,-0.600000024,negative,,,detected
309,"Sep. 21, 2020 at 5:22 a.m. ET",Stocks Pare Earlier Losses as Nasdaq Closes Nearly Flat,losses,-0.600000024,negative,,,detected
295,"Sep. 23, 2020 at 1:32 p.m. ET","Dow drops 125 points on losses in Salesforce.com Inc., Chevron stocks",losses,-0.600000024,negative,,,detected
296,"Sep. 23, 2020 at 11:45 a.m. ET","American Express, Chevron share losses contribute to Dow's 50-point fall",losses,-0.600000024,negative,,,detected
294,"Sep. 23, 2020 at 2:33 p.m. ET","Salesforce.com Inc., Chevron share losses lead Dow's 350-point fall",losses,-0.600000024,negative,,,detected
293,"Sep. 23, 2020 at 3:33 p.m. ET","Salesforce.com Inc., Chevron share losses contribute to Dow's 487-point fall",losses,-0.600000024,negative,,,detected
481,"Sep. 3, 2020 at 1:50 p.m. ET","Dow falls 832 points on losses in Apple Inc., Salesforce.com Inc. stocks",losses,-0.600000024,negative,,,detected
486,"Sep. 3, 2020 at 10:48 a.m. ET","Dow's nearly 300-point drop led by losses for Apple Inc., Salesforce.com Inc. stocks",losses,-0.600000024,negative,,,detected
485,"Sep. 3, 2020 at 11:49 a.m. ET","Dow's 550-point drop led by losses in shares of Apple Inc., Salesforce.com Inc.",losses,-0.600000024,negative,,,detected
483,"Sep. 3, 2020 at 12:50 p.m. ET","Dow's nearly 725-point fall led by losses for shares of Apple Inc., Salesforce.com Inc.",losses,-0.600000024,negative,,,detected
478,"Sep. 3, 2020 at 3:01 p.m. ET","Apple Inc., Microsoft share losses contribute to Dow's nearly 925-point fall",losses,-0.600000024,negative,,,detected
463,"Sep. 4, 2020 at 10:45 a.m. ET","Salesforce.com Inc., Apple Inc. share losses lead Dow's 532-point fall",losses,-0.600000024,negative,,,detected
459,"Sep. 4, 2020 at 12:55 p.m. ET","Dow's 314-point fall led by losses for Salesforce.com Inc., Microsoft shares",losses,-0.600000024,negative,,,detected
432,"Sep. 8, 2020 at 1:12 p.m. ET","Boeing, Apple Inc. share losses contribute to Dow's 350-point fall",losses,-0.600000024,negative,,,detected
435,"Sep. 8, 2020 at 11:02 a.m. ET","Dow's 430-point fall led by losses for shares of Boeing, Chevron",losses,-0.600000024,negative,,,detected
430,"Sep. 8, 2020 at 2:22 p.m. ET","Boeing, Apple Inc. share losses lead Dow's 437-point drop",losses,-0.600000024,negative,,,detected
428,"Sep. 8, 2020 at 3:22 p.m. ET","Dow's nearly 525-point drop led by losses for Apple Inc., Boeing shares",losses,-0.600000024,negative,,,detected
436,"Sep. 8, 2020 at 9:45 a.m. ET","Boeing, Apple Inc. share losses contribute to Dow's 533-point fall",losses,-0.600000024,negative,,,detected
407,"Sep. 9, 2020 at 4:05 p.m. ET",Dow posts 440-point gain and Nasdaq notches 2.7% rise to recover a chunk of losses from Tuesday's tech rout,losses,-0.600000024,negative,,,detected
